AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
USC00023110         140Q   124Q   119Q    35Q    49Q    37Q   243Q   271Q   162Q   102Q    75Q   103Q
USC00023150          98S   111S    83S    35S    39S    15S   155S   153S   104S    92S    62S   100S
USC00023160         209R   240R   204R   103R    76S    32S   265S   316S   220S   127R   151R   153R
USC00023190         153S   140C   156S    44C    20S     6C   113S   130S    96C    81S    90S   135S
USC00023303          75Q    89Q    81Q    69Q    53Q    34Q   131Q   171Q   121Q    98Q    88Q    94Q
USC00023393          71S    96C    71S    22C    20C     1S    80S   121S    47S    34S    61C    79S
USC00023448         220C   197S   185C    65S    38S    17C   183S   236C   161C   128C   145S   180C
USC00023505         207R   168R   173R    51R    36R    25R   213R   286R   129R   116R   103R   168R
USC00023596         154R   144R   173S   102R    50S    32S   187S   239S   144S   133S   109S   127R
USC00023668          79R    87R    78R    32R    25R    31R   338R   295R   159R   130R    61R   104R
USC00023683         129R   123R   105R    63R    76S    86S   389S   505R   245S   166S   130R   173R
USC00023828         232Q   311Q   305Q   124Q    70Q    40Q   240Q   321Q   236Q   159Q   182Q   243Q
USC00023961         153Q   148Q   149Q    59Q    56Q    47Q   270Q   352Q   190Q   125Q   145Q   168Q
USC00024053         184R   214R   183R    80R    34R    13R   113R   214R   134R   115R   121R   128R
USC00024089          71R    50R    70S    32S    28S    16S   122S   162S   105S    90R    56S    62R
USC00024182         190C   188C   166S    56S    25C    15S   140S   170C   119C   116S   103S   154S
USC00024391         227R   234R   238R   102R    63R    27R   224R   305R   188R   146R   146R   190R
USC00024453         157R   195S   207R    90S    63S    48S   216S   318S   170S   126S   133R   148R
USC00024586          66Q    70Q    74Q    53Q    41Q    21Q   137Q   159Q   111Q    92Q    59Q    87Q
USC00024590         165R   151R   156R    45R    33R    16S   167S   182R    90S    81S   100R   158R
