AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
USC00338830         311R   245R   388R   361S   464S   358S   407S   359S   252S   292S   311R   308R
USC00338951         266S   224C   294S   348C   432C   453C   422C   304C   285C   274C   321C   291S
USC00338990         260S   213S   315S   362S   460S   429S   400S   309C   284S   316S   332C   303S
USC00339050         333R   302S   412R   375S   499S   410S   456S   360S   301S   317S   332S   342S
USC00339197         277Q   304Q   389Q   380Q   486Q   432Q   483Q   362Q   333Q   316Q   346Q   361Q
USC00339219         281S   240C   356S   393S   529S   385C   422S   303S   285S   303C   324C   299C
USC00339312         229C   197C   279C   365C   445C   445C   428C   388C   343C   307C   311C   271C
USC00339361         313S   250R   342S   389C   520S   412S   425S   317S   276S   304C   334C   302S
USC00340017         202S   235S   353S   373S   529C   496C   299S   309S   443S   410C   268C   258C
USC00340028         185Q   220Q   359Q   415Q   611Q   562Q   370Q   375Q   458Q   378Q   336Q   289Q
USC00340179         109S   120C   199S   238C   399S   445C   225S   273S   275S   283C   154S   137C
USC00340184         126S   129C   224C   270S   397C   464C   244S   273C   300S   303C   165S   127S
USC00340193         105R   113R   303R   245R   381R   411R   284R   343R   193R   239R   164R   122R
USC00340200         121R   165R   244R   308R   437R   408R   243R   222R   339R   356R   201R   167R
USC00340215          90Q   110Q   252Q   356Q   487Q   529Q   324Q   319Q   440Q   308Q   171Q   128Q
USC00340224         114R   159R   261R   277R   489R   452R   246R   281R   312R   368R   197R   167R
USC00340256         257R   288R   398S   406R   553R   495S   370R   236S   440R   472R   421R   326R
USC00340260         131R   195R   283R   330R   473R   465R   241R   245R   323R   408R   198R   184R
USC00340288         138R   140R   303R   279R   537R   545R   378R   301R   315R   395R   231R   158R
USC00340292         194S   233S   284S   325S   534S   433R   280S   227S   357S   410S   232S   255S
USC00340332          82R    98R   196R   205R   378R   390R   240R   266R   255R   245R   135R   108R
USC00340364         272R   255R   392R   417R   565R   527R   339R   268R   450R   399R   363R   323R
USC00340391         250Q   263Q   403Q   438Q   617Q   573Q   341Q   281Q   411Q   451Q   380Q   315Q
USC00340535         168R   199R   322R   442R   587R   583R   392R   380R   425R   346R   300R   219R
USC00340546         260Q   194Q   305Q   362Q   622Q   568Q   322Q   319Q   423Q   373Q   272Q   232Q
USC00340567         337R   375R   502R   495R   674R   485R   421R   341R   477R   543R   482R   479R
USC00340593          60S    74S   171S   172S   267S   389S   273S   263S   169C   173S    92S    96C
USC00340670         290Q   295Q   417Q   475Q   591Q   571Q   378Q   301Q   461Q   474Q   511Q   380Q
USC00340755         117S   153S   319C   332S   446S   510S   318S   313S   333S   342C   218S   152S
USC00340782         193R   191R   380R   345R   621R   479R   314R   239R   437R   400R   300R   236R
USC00340818         115S   137C   307S   354C   502S   535C   361S   378S   355S   335S   209S   155C
USC00340830         151R   179S   311S   332S   481S   447S   283S   312S   387S   367S   203S   207S
USC00340908          48S    43S   123S   129S   214S   299S   266S   334S   157C   138S    59S    67S
USC00340980         249R   288R   387R   365R   665R   485R   303R   321R   369R   520R   409R   333R
USC00341075         106Q   153Q   298Q   324Q   493Q   555Q   378Q   370Q   338Q   346Q   209Q   134Q
USC00341144         171R   191S   352S   360S   566S   510S   267R   298S   393R   427S   306S   257R
USC00341162         332S   396S   477S   432S   654C   488S   366S   296S   409S   546S   485S   480S
USC00341168         372R   390R   612R   442R   644R   447R   437R   291R   423R   595R   485R   476R
USC00341243          66S   100S   181S   221R   363R   408S   206S   284S   209S   214S   122S    95R
USC00341256         127R   167S   352S   411S   511S   568S   340S   330S   449S   330S   219S   164S
USC00341499         328R   383R   543R   461R   635R   472R   472R   270R   395R   559R   494R   434R
USC00341504         112R   132R   270R   298R   489R   479R   244R   298R   285R   311R   149R   144R
USC00341544         310S   369S   469S   405S   705R   460R   386R   305S   404R   599R   451R   428R
USC00341620          84R   113R   241R   230R   372R   381R   251R   329R   265R   259R   149R   100R
USC00341648         245R   272R   400R   430R   562R   491R   278R   303R   336R   452R   311R   268R
USC00341684         129R   182R   321S   335S   509R   487S   271R   294S   380S   369S   258R   195R
USC00341706         118S   159S   254S   274S   451R   437S   207S   285S   274S   326S   155S   176S
USC00341711         273R   242R   372R   374R   581R   432R   312R   271R   512R   430R   376R   309R
USC00341717         212R   218R   359R   386R   560R   607R   302R   315R   469R   394R   340R   270R
USC00341724         121R   153R   280R   278S   429R   475S   308R   333R   281S   292S   168R   140R
USC00341745         200S   230S   376S   375S   549S   471S   344S   258S   450S   453C   268S   266S
USC00341750         145S   183S   288S   347S   464C   486S   239S   346S   362C   405C   224S   196S
USC00341828         193S   228S   370S   429S   554S   536S   412S   332S   470C   380C   363S   273S
USC00341858         269R   280R   399R   503R   598R   474S   374S   288R   412S   483R   438S   357R
USC00341909         107R   120R   259R   239R   481R   478R   217R   331R   363R   330R   169R   149R
USC00342011         208Q   254Q   420Q   417Q   537Q   511Q   300Q   260Q   424Q   444Q   336Q   279Q
USC00342039         126R   121S   268R   261R   445R   476R   252S   349S   284S   332S   181R   155S
USC00342054         152S   200C   328S   355S   521S   462C   212C   255S   363C   412S   236S   206S
USC00342125         119S   122S   236S   259S   408S   471S   209S   355S   301S   299S   159S   129S
USC00342196         158S   189S   343S   324S   574S   440S   246C   307C   393S   430S   231C   235S
USC00342242         113R   139R   295R   317S   468R   491R   275S   317S   299S   292S   212R   151R
USC00342318         134R   182S   318S   367S   581S   523S   318S   289C   402S   341S   261S   225R
USC00342354         309S   307S   415C   505C   664S   475C   366C   278C   446C   499S   437C   380S
USC00342485         210R   237S   369R   406S   568S   515S   367S   315S   502S   427S   364S   266S
USC00342660         151R   203S   296S   356S   528S   496S   260S   278S   364S   426S   231S   212R
USC00342668         131S   177S   262S   272C   453C   428S   191S   247C   325C   426C   208S   183S
USC00342678         227S   282R   405R   402S   518R   552S   320S   242R   377R   463S   359R   318S
USC00342690         232Q   242Q   361Q   358Q   557Q   501Q   312Q   309Q   480Q   434Q   312Q   282Q
USC00342788         146R   168R   286R   320R   514R   521R   258R   321R   380R   437R   163R   149R
USC00342818         104R   147R   285R   281R   500R   565R   250R   351R   320R   330R   206R   151R
USC00342849          98R   126S   257S   239S   433S   408S   225S   341S   315S   274R   148R   123S
USC00342872         158R   218R   289R   318R   449R   495R   261R   268R   420R   378R   243R   199R
USC00342912         107S   149S   282S   309S   435S   520S   278S   341S   310S   349C   203S   141R
USC00342944          77S    97C   199S   217C   408S   396C   208C   290C   279C   260C   131S   107C
USC00342993         219R   248R   439R   398R   574R   483R   339R   321R   515R   381R   371R   346R
USC00343065         333R   316S   411S   458S   652C   525S   372S   306C   473S   461S   510S   386S
USC00343070          72S    92S   195S   202C   342S   345S   240S   278C   212S   213S   141S    92S
USC00343083         296R   292R   389R   423R   565R   435R   340R   255R   412R   490R   345R   372R
USC00343250         104R   131R   304R   343R   525R   574R   390R   324R   467R   358R   179R   174R
USC00343304          72S    93S   220S   224S   365S   411S   234S   307S   223S   228S   128S    97S
USC00343353         125R   162R   263R   283R   397R   413R   214R   283R   306R   324S   160R   152R
USC00343358          77S    97S   218S   239S   389S   402S   261S   287S   225S   231S   144S   110S
USC00343489          74S    89S   194S   203S   286S   365S   253S   297S   193S   206S   107S   107R
USC00343497         104R   126R   256R   287S   426R   457S   193S   308R   336S   317S   183R   149R
USC00343628          31S    43S   114S   145S   223S   260S   239C   239S   165S   155S    48S    47R
USC00343740          92R   114S   290S   254S   441S   456S   295S   381S   314S   329S   180S   131S
USC00343821         143S   173S   351S   323S   503S   538S   264C   334C   368S   363S   259S   219R
USC00343835         188Q    58Q   126Q   129Q   258Q   278Q   211Q   289Q   157Q   158Q    78Q    84Q
USC00343871         103R    99R   237R   237R   407R   429R   197R   287R   296R   281R   152R   132R
USC00343884         220R   251R   376R   377R   646R   441R   351R   249R   519R   421R   387R   299R
USC00343909          89R   161R   294R   380R   538R   521R   312R   306R   258R   365R   238R   115R
USC00343956         219R   246R   381R   360R   568R   472R   257R   306R   477R   480R   386R   274R
USC00343998          94R   135R   208R   249R   378R   412R   244R   296R   300R   257R   183R   146R
USC00344001         172S   216S   315S   305S   534S   442S   253S   239S   400S   405C   249S   241S
USC00344008         283R   281R   397R   462R   736R   453R   348R   334R   463R   441R   464R   399R
USC00344017         354R   423R   440R   502R   712R   380R   449R   295R   430R   511R   520R   474R
USC00344019         105C   132C   279C   289C   417C   452C   280C   344C   287C   306C   173C   136C
USC00344052         165R   221R   306R   335R   576R   463R   255R   260R   414R   405R   229R   219R
USC00344055         123S   143C   289C   322S   500S   485S   286C   342S   287S   285S   190C   151S
USC00344235         189R   224S   348S   391S   514S   490R   283S   323S   435S   412S   286R   275R
USC00344249          75R   121S   169R   235S   340S   405S   222S   280S   267S   260S   135S   105R
USC00344258         165R   203R   340R   403R   642R   528R   337R   294R   437R   365R   322R   244R
USC00344298          53R    54S   137R   153S   235S   245S   254S   209S   165S   154S    58S    80R
USC00344384         313R   360R   467R   363R   553R   481R   308R   238R   401R   463R   446R   382R
USC00344451         326R   399R   498R   427R   623R   425R   357R   253R   412S   534S   475R   456R
USC00344489         151R   157R   320R   377R   520R   437R   273R   302R   423R   323R   269R   204R
USC00344567         248R   271R   414R   426R   586R   408R   358R   321R   505R   428R   393R   340R
USC00344573         100R   132R   299R   302R   516R   491R   295R   371R   325R   347R   198R   144R
USC00344672         258S   271S   421R   440S   527R   477R   316R   367R   491R   441R   414R   344R
USC00344766          45R    49R   105R   119R   205R   234R   343R   313R   139R   143R    56R    52R
USC00344861         119S   148S   300C   315C   491C   510C   265S   371C   357C   311S   212C   166S
USC00344865         242R   231R   353S   404S   545S   512S   263S   228S   415S   453S   301R   310R
USC00344915         184S   214C   332S   395C   512C   520C   310C   292C   429C   436C   277C   248S
USC00344950         101Q   128Q   279Q   301Q   425Q   454Q   286Q   352Q   323Q   315Q   191Q   136Q
USC00344975         258R   253R   383R   434R   633R   489R   290R   253R   570R   487R   370R   317R
USC00345013         112R   138R   292R   300R   440R   528R   279R   373R   310R   367R   201R   142R
USC00345045          68S    87S   182S   194S   275S   352S   265S   285S   180S   188S   111S   105S
USC00345063         122S   166R   251S   289S   453S   443S   226S   275S   327S   367S   184S   182R
USC00345090          73R   115S   218R   230S   419S   367S   196S   247S   246S   271S   142R   117R
USC00345108         244R   237R   396S   446S   531S   517S   316S   265S   429S   440S   344S   265R
USC00345118         179R   189R   341R   427R   629R   506R   304R   314R   421R   341R   296R   239R
USC00345216         150R   168R   292R   327R   489R   381R   217R   266R   364R   403R   192R   211R
