AQW00061705          44C    48C    53C    29C    10C     1C     2C     1C     4C     7C    21C    33C
USC00029464           0Q     0Q    14Q    73Q   238Q   296Q   310Q   309Q   272Q   141Q     5Q     0Q
USC00029542           0C     0S     0C     1C    34S   176S   245S   190S    59S -7777C     0C     0C
USC00029634           0S     0S    14S    96S   248S   296S   310S   308S   281S   141S     9S     0S
USC00029645           0S     0S     7S    50S   174S   275S   307S   303S   250S    90S     0S     0S
USC00029652           0R     2R    23R    99R   230R   287R   309R   305R   278R   162R     6R     0R
USC00029656           1R     1R    43R   133R   251R   295R   310R   310R   290R   196R    18R     0R
USC00030064           0S     0S     0S     2S    10S   104S   160S   152S    48S     1S     0S     0S
USC00030130           0S     0S     0S     1S     1S    46S   147S   161S    42S -7777S     0S     0S
USC00030220           0S     0S     0S     2S    12S   122C   221S   205S    82S     5S     0S     0S
USC00030240           0C     0S     0S     1S     9S    93S   178C   174C    51S     1S     0S     0C
USC00030458           0S     0S     0S     0S     2S    44S   136S   149S    39S -7777S     0S     0S
USC00030460           0S     0S     0S     3S    20S   140S   233S   213S    79S     3S     0S     0S
USC00030536           0S     0S     0S     2C    24C   139S   209S   184C    68C     3C     0S     0S
USC00030582           0S -7777S     0S     2S    11S   107S   211S   201S    76S     3S     0S     0S
USC00030586           0S     0S     0R     1R     4R    30R   144R   162R    44R -7777R     0R     0R
USC00030618           0Q     0Q     0Q     2Q    10Q    57Q   147Q   180Q    54Q     0Q     0Q     0Q
USC00030664           0Q     0Q     0Q     0Q     0Q    23Q   128Q   158Q    25Q     0Q     0Q     0Q
USC00030764           0S     0S     0S     2S     6R    79S   183S   191S    61S     1S     0S     0S
